# Prebiotic HCN/thioester/autocatalytic candidate reaction network v0
# Purpose: tentative network for testing autocatalytic thresholds from planetary feedstocks.
# Status: hypothesis-level scaffold, not a validated kinetic mechanism.
# Intended inputs from environment: HCN, NH3, H2O, CO, CO2, H2, CH4, H2S/HS-, phosphate, FeS/NiS, aldehydes.
# Target families: amino acids, aminonitriles, carboxylates, thioesters, acetyl-phosphate/acetyl-CoA analogues, short peptides.
# Columns: ID | SECTION | TYPE | REACTION | CATALYST_HINT | AUTOCATALYTIC_ROLE | SOURCE_HINT
#
# CATALYST LIBRARY
# C01 | UV | stellar UV / lightning UV; required for photolysis and photoisomerization.
# C02 | FeS | iron sulfide surface; C1 reduction, CO activation, thioester chemistry.
# C03 | NiS | nickel sulfide surface; acetyl/thioester formation and CO insertion.
# C04 | FeS/NiS | mixed sulfide surface; hydrothermal redox and carbonylation catalyst.
# C05 | clay | wet-dry concentration, adsorption, peptide/aldol condensation surface.
# C06 | base/mineral | alkaline solution or mineral base sites; HCN oligomerization/formose chemistry.
# C07 | acid/base | general aqueous acid/base catalysis; nitrile hydrolysis and peptide hydrolysis.
# C08 | phosphate/Mg2+ | phosphate activation and phosphoryl transfer chemistry.
# C09 | thiol/HS-/H2S | sulfur nucleophile and thioester precursor chemistry.
# C10 | short_peptide_pool | emergent peptide catalysts; explicit autocatalytic closure.
# C11 | mineral_peptide_complex | adsorbed peptide-mineral catalytic surface.
#
# CONDITION SETS
# K01_photolysis_atmosphere | gas/upper aqueous interface | UV present | dry or aerosol/pond interface | controlled by atmosphere UV optical depth.
# K02_hydrothermal_reducing | aqueous | 350-650 K | high pressure | FeS/NiS, H2, CO/CO2, HS- present.
# K03_surface_pond_neutral_alkaline | aqueous | 273-373 K | surface pressure | pH neutral-alkaline, wet-dry possible.
# K04_HCN_concentrated | aqueous/eutectic/drying | 273-350 K | HCN concentrated | pH neutral-alkaline, UV optional.
# K05_formose_alkaline | aqueous | 273-350 K | formaldehyde concentrated | pH alkaline, divalent cations/minerals.
# K06_strecker_pond | aqueous | 273-373 K | HCN + NH3 + aldehydes | pH moderate, hydrolysis available.
# K07_thioester_hydrothermal | aqueous | 300-650 K | CO + thiols + FeS/NiS | reducing, sulfide-rich.
# K08_wet_dry_peptide | surface pond/volcanic rock | 280-370 K | wet-dry cycling | clay/mineral concentration.
# K09_mineral_precipitation | aqueous | 273-650 K | Fe2+/Ni2+ + HS- | redox-active mineral formation.
# K10_autocatalytic_test | abstract kinetic box | environment supplied feedstocks | catalytic probability parameter active.
#
# SECTION -> DEFAULT CONDITION SETS
# feedstock_activation      -> K01_photolysis_atmosphere or K02_hydrothermal_reducing
# HCN_core                  -> K04_HCN_concentrated
# formaldehyde_formose      -> K05_formose_alkaline
# strecker_amino_acids      -> K06_strecker_pond
# carboxylate_core          -> K02_hydrothermal_reducing
# thioester_energy          -> K07_thioester_hydrothermal
# peptide_catalysis         -> K08_wet_dry_peptide
# mineral_redox_catalysis   -> K09_mineral_precipitation
# autocatalytic_closure     -> K10_autocatalytic_test

R001 | feedstock_activation | photochemical | CH4 + hnu -> CH3 + H | UV | radical carbon source | atmospheric_photolysis
R002 | feedstock_activation | photochemical | NH3 + hnu -> NH2 + H | UV | reduced nitrogen radicals | atmospheric_photolysis
R003 | feedstock_activation | photochemical | H2O + hnu -> OH + H | UV | radical/redox source | atmospheric_photolysis
R004 | feedstock_activation | photochemical | CO2 + hnu -> CO + O | UV | CO source | atmospheric_photolysis
R005 | feedstock_activation | thermal/redox | CO2 + H2 -> CO + H2O | FeS/NiS | CO source for carbonyl chemistry | water_gas_shift_like
R006 | feedstock_activation | thermal/redox | CO2 + H2 -> HCOO- + H+ | FeS/NiS | formate feedstock | hydrothermal_reduction
R007 | feedstock_activation | thermal/redox | CO + H2O -> HCOO- + H+ | FeS/NiS | formate feedstock | hydrothermal_carbonylation
R008 | feedstock_activation | thermal/redox | CO + H2 + HS- -> HCS- + H2O | FeS/NiS | thioformate precursor | hydrothermal_thiocarbonyl
R009 | feedstock_activation | condensation | CO + NH3 -> HCONH2 | FeS/NiS | formamide pool | hydrothermal_carbonylation
R010 | feedstock_activation | condensation | HCN + H2O -> HCONH2 | mineral_surface | formamide pool | HCN_hydrolysis

R011 | HCN_core | oligomerization | HCN + HCN -> iminoacetonitrile | base/mineral | aminonitrile seed | HCN_chemistry
R012 | HCN_core | addition | iminoacetonitrile + HCN -> aminomalononitrile | base/mineral | HCN oligomer growth | HCN_chemistry
R013 | HCN_core | addition | aminomalononitrile + HCN -> diaminomaleonitrile | base/mineral | DAMN pool | HCN_chemistry
R014 | HCN_core | photoisomerization | diaminomaleonitrile + hnu -> diaminofumaronitrile | UV | activated HCN tetramer | HCN_chemistry
R015 | HCN_core | hydrolysis | aminomalononitrile + 2 H2O -> aminoacetamide + NH3 + CO | acid/base | amino-acid precursor | HCN_hydrolysis
R016 | HCN_core | hydrolysis | aminoacetamide + H2O -> glycine + NH3 | acid/base | amino acid product | Strecker_related
R017 | HCN_core | hydrolysis | diaminomaleonitrile + 4 H2O -> aspartate_precursor + 2 NH3 | acid/base | amino acid precursor | HCN_hydrolysis
R018 | HCN_core | cyclization | diaminomaleonitrile + HCN -> aminoimidazole_carbonitrile | UV/mineral | nucleobase precursor | HCN_oligomerization
R019 | HCN_core | cyclization | aminoimidazole_carbonitrile + HCN -> adenine | UV/heat | nucleobase product | Oró_like
R020 | HCN_core | degradation | HCN + H2O -> formamide | acid/base | formamide replenishment | HCN_hydrolysis

R021 | formaldehyde_formose | formation | CO + H2 -> H2CO | FeS/NiS | aldehyde source | hydrothermal_reduction
R022 | formaldehyde_formose | formation | CH3 + O -> H2CO + H | radical_pool | aldehyde source | atmospheric_chemistry
R023 | formaldehyde_formose | dimerization | H2CO + H2CO -> glycolaldehyde | base/mineral | formose autocatalyst seed | formose
R024 | formaldehyde_formose | aldol | glycolaldehyde + H2CO -> glyceraldehyde | base/clay | sugar growth | formose
R025 | formaldehyde_formose | isomerization | glyceraldehyde -> dihydroxyacetone | base/mineral | sugar pool | formose
R026 | formaldehyde_formose | retroaldol | tetrose -> glycolaldehyde + glycolaldehyde | base/mineral | regenerates catalyst | formose_autocatalysis
